Country,population (1000s),adults (1000s),Share of world population (%),Share of adult population (%),Wealth per capita,Wealth per adult,Share of world wealth (%),GDP per capita,geep per data,Wealth Gini
 Japan,127034,100933,2.09,2.73,124858,157146,9.86,25924,7.05,0.547
 China,1251788,842063,20.57,22.77,11267,16749,8.77,3844,10.30,0.550
 Spain,40717,32165,0.67,0.87,93086,117837,2.36,19037,1.66,0.570
 South Korea,46779,33242,0.77,0.90,45278,63716,1.32,14937,1.50,0.579
 Macau,444,310,0.01,0.01,71660,102755,0.02,23118,0.02,0.580
 Ireland,4700,2646,0.08,0.08,91432,131367,0.22,27197,0.22,0.581
 Italy,57715,46416,0.95,1.26,120897,150327,4.34,22876,2.83,0.609
 Yemen,17937,7209,0.30,0.20,1426,3548,0.02,1293,0.05,0.613
 Finland,5177,3905,0.09,0.11,53154,70461,0.17,24416,0.27,0.615
 Brazil,173858,104213,2.86,2.82,62676,80825,2.13,16397,2.88,0.620
 Australia,19071,13690,0.31,0.37,90906,126635,1.08,27193,1.11,0.622
 Czech Republic,10267,7889,0.17,0.21,32431,42205,0.21,14844,0.33,0.626
 Slovenia,1967,1521,0.03,0.04,37019,47867,0.05,16983,0.07,0.626
 Belarus,10029,7335,0.17,0.20,14659,20043,0.09,8738,0.19,0.628
 Slovakia,5400,3900,0.09,0.11,24049,33297,0.08,12619,0.15,0.629
 Norway,4502,3337,0.07,0.09,79292,106970,0.22,32057,0.31,0.633
 Albania,3062,1851,0.05,0.05,10574,17497,0.02,3658,0.02,0.642
 Austria,8096,6271,0.13,0.17,73047,94305,0.37,24836,0.43,0.646
 Netherlands,15898,12046,0.26,0.33,121165,159910,1.20,25759,0.88,0.650
 Luxembourg,435,328,0.01,0.01,185231,245479,0.05,48968,0.05,0.650
 Hungary,10226,7834,0.17,0.21,31452,41055,0.20,11063,0.24,0.651
 Romania,22117,16431,0.36,0.44,14806,19930,0.20,5024,0.24,0.651
 New Zealand,4518,2678,0.07,0.07,55823,79585,0.13,20008,0.16,0.651
 Bulgaria,7997,6192,0.13,0.17,15120,19527,0.08,6356,0.11,0.652
 Ethiopia,68525,30020,1.13,0.81,1412,3224,0.06,720,0.11,0.652
 Greece,10975,8568,0.18,0.23,69855,89477,0.48,15558,0.37,0.654
 Croatia,4505,3430,0.07,0.09,22021,28925,0.06,9547,0.09,0.654
 Taiwan,22191,15476,0.37,0.42,100009,143405,1.38,19714,0.94,0.655
 Kazakhstan,15033,9507,0.25,0.26,13723,21699,0.13,8331,0.27,0.655
 Poland,38649,27858,0.64,0.75,24654,34204,0.59,9661,0.80,0.657
 Bangladesh,128916,66483,2.12,1.80,6305,12226,0.51,1772,0.49,0.660
 Mauritius,1186,779,0.02,0.02,60398,91954,0.05,14406,0.04,0.661
 Macedonia,2010,1398,0.03,0.04,14759,21214,0.02,5506,0.02,0.661
 Belgium,10304,7896,0.17,0.21,86205,112492,0.55,25008,0.55,0.662
 Malta,392,284,0.01,0.01,74246,102515,0.02,18256,0.02,0.664
 Iceland,320,194,0.01,0.01,81945,118439,0.01,26929,0.02,0.664
 Tajikistan,6159,2866,0.10,0.08,2940,6318,0.01,1380,0.02,0.664
 Sri Lanka,19848,12689,0.33,0.34,10337,16168,0.13,3841,0.16,0.665
 Lithuania,3500,2548,0.06,0.07,21566,29626,0.05,8397,0.06,0.666
 Germany,82344,64810,1.35,1.75,90768,115325,4.65,23917,4.22,0.667
 Portugal,10225,7878,0.17,0.21,53811,69840,0.34,17089,0.37,0.667
 Ukraine,49116,36573,0.81,0.99,9547,12821,0.29,5147,0.54,0.667
 India,1021084,570595,16.78,15.43,6513,11655,4.14,2684,5.87,0.669
 Algeria,30463,16353,0.50,0.44,7320,13635,0.14,6107,0.40,0.670
 Latvia,2373,1770,0.04,0.05,18958,25422,0.03,8305,0.04,0.670
 Estonia,1367,1016,0.02,0.03,24556,33023,0.02,10873,0.03,0.675
 Tanzania,34763,15569,0.57,0.42,1216,2716,0.03,490,0.04,0.676
 Israel,6084,3836,0.10,0.10,64633,102511,0.25,19148,0.25,0.677
 Jordan,4972,2474,0.08,0.07,10792,21687,0.03,4282,0.05,0.678
 Azerbaijan,8143,4816,0.13,0.13,6737,11391,0.03,3555,0.06,0.678
 Kyrgyzstan,4952,2706,0.08,0.07,5174,9469,0.02,3205,0.03,0.680
 Chad,8216,3501,0.14,0.10,1726,4051,0.01,959,0.02,0.681
 Vietnam,78671,44025,1.29,1.19,5621,10045,0.28,2012,0.34,0.682
 Armenia,3082,1986,0.05,0.05,9480,14711,0.02,3068,0.02,0.684
 Jamaica,2585,1478,0.04,0.04,9601,16787,0.02,3464,0.02,0.686
 Mauritania,2645,1225,0.04,0.03,3966,8566,0.01,1729,0.01,0.686
 Sierra Leone,4509,2136,0.07,0.06,2043,4311,0.01,734,0.01,0.687
 Canada,30689,22764,0.50,0.62,89252,120326,1.70,28731,1.89,0.688
 Equatorial Guinea,449,206,0.01,0.01,7404,16110,0.00,10302,0.01,0.688
 Cape Verde,451,202,0.01,0.01,10801,24144,0.00,4299,0.00,0.688
 Egypt,67285,35550,1.11,0.96,15541,29415,0.65,4406,0.64,0.689
 Singapore,4017,2890,0.07,0.08,113632,157942,0.28,28644,0.25,0.689
 Trinidad and Tobago,1285,817,0.02,0.02,51101,80369,0.04,13721,0.04,0.689
 Mozambique,17911,8088,0.29,0.22,2820,6245,0.03,1113,0.04,0.689
 Morocco,29231,16167,0.48,0.44,12440,22491,0.23,4299,0.27,0.690
 Moldova,4275,2894,0.07,0.08,7790,11508,0.02,2212,0.02,0.691
 Ghana,19867,9418,0.33,0.26,3903,8234,0.05,1376,0.06,0.692
 Tunisia,9563,5638,0.16,0.15,20534,34833,0.12,7130,0.15,0.693
 Guinea,8434,3876,0.14,0.11,7756,16877,0.04,2961,0.05,0.693
 United Kingdom,58670,43871,0.96,1.19,128959,172461,4.71,24252,3.09,0.697
 Senegal,10343,4547,0.17,0.12,4309,9802,0.03,1681,0.04,0.697
 Pakistan,142648,67968,2.34,1.84,5987,12566,0.53,2158,0.66,0.698
 Russia,146560,107493,2.41,2.91,16579,22604,1.51,9996,3.14,0.699
 Kenya,30689,13409,0.50,0.36,3442,7878,0.07,1316,0.09,0.699
 Burundi,6486,2607,0.11,0.07,1876,4668,0.01,619,0.01,0.699
 Syria,16813,7920,0.28,0.21,8917,18929,0.09,4338,0.16,0.704
 Barbados,266,190,0.00,0.01,102932,144376,0.02,17526,0.01,0.706
 Iran,66365,34053,1.09,0.92,16673,32494,0.69,7202,1.02,0.707
 Guyana,744,433,0.01,0.01,5697,9790,0.00,4072,0.01,0.707
 Uruguay,3342,2259,0.06,0.06,20926,30957,0.04,10285,0.07,0.708
 Fiji,811,453,0.01,0.01,9928,17764,0.01,4950,0.01,0.709
 Thailand,61438,40160,1.01,1.09,13920,21295,0.53,6715,0.88,0.710
 Guinea-Bissau,1366,588,0.02,0.02,1673,3884,0.00,738,0.00,0.710
 Cameroon,14856,6819,0.24,0.18,5290,11525,0.05,2301,0.07,0.711
 Democratic Republic of the Congo,50052,21050,0.82,0.57,1400,3328,0.04,669,0.07,0.711
 Republic of the Congo,3438,1468,0.06,0.04,2806,6573,0.01,2533,0.02,0.711
 Togo,5364,2379,0.09,0.06,2217,4999,0.01,926,0.01,0.711
 Comoros,699,315,0.01,0.01,5182,11490,0.00,1823,0.00,0.711
 São Tomé and Príncipe,140,62,0.00,0.00,3235,7251,0.00,1317,0.00,0.711
 Venezuela,24418,13707,0.40,0.37,14711,26206,0.22,7232,0.38,0.712
 Ivory Coast,16735,7529,0.28,0.20,5212,11584,0.05,2028,0.07,0.712
 Benin,7197,3112,0.12,0.08,3378,7812,0.02,1225,0.02,0.713
 Cambodia,12744,5847,0.21,0.16,4890,10658,0.04,1859,0.05,0.714
 Rwanda,8025,3250,0.13,0.09,2955,7296,0.02,976,0.02,0.714
 Philippines,75766,39206,1.25,1.06,12453,24066,0.59,4065,0.66,0.717
 Turkey,68234,40391,1.12,1.09,22379,37806,0.95,7414,1.08,0.718
 Madagascar,16195,7260,0.27,0.20,2226,4965,0.02,877,0.03,0.722
 Dominican Republic,8265,4462,0.14,0.12,13873,25696,0.07,5654,0.10,0.723
 Uganda,24309,9370,0.40,0.25,2889,7495,0.04,1030,0.05,0.723
 Gambia,1316,643,0.02,0.02,3894,7964,0.00,1329,0.00,0.723
 Georgia,3730,3326,0.06,0.09,12358,17537,0.04,5315,0.05,0.725
 Burkina Faso,11292,4591,0.19,0.12,2123,5222,0.02,986,0.02,0.728
 Niger,11782,4758,0.19,0.13,1755,4344,0.01,902,0.02,0.729
 France,59278,44358,0.97,1.20,94557,126360,3.49,23614,3.00,0.730
 Costa Rica,3929,2284,0.07,0.06,14718,25319,0.04,5873,0.05,0.732
 Malaysia,22997,12944,0.38,0.35,12458,22135,0.18,9422,0.46,0.733
 Nigeria,117608,51431,1.93,1.39,905,2070,0.07,826,0.21,0.736
 Malawi,11512,4970,0.19,0.13,2559,5927,0.02,808,0.02,0.736
 Saudi Arabia,21484,10992,0.35,0.30,22025,43046,0.29,12374,0.57,0.737
 Peru,25952,14348,0.43,0.39,11577,20939,0.19,4799,0.27,0.738
 Papua New Guinea,5299,2544,0.09,0.07,3629,7559,0.01,2326,0.03,0.738
 Argentina,36896,23307,0.61,0.63,36740,58161,0.84,11729,0.93,0.740
 Hong Kong,6637,5085,0.11,0.14,188699,246307,0.78,27893,0.40,0.740
 Saint Vincent and the Grenadines,116,64,0.00,0.00,13287,23932,0.00,7847,0.00,0.741
 Sweden,8877,6735,0.15,0.18,78148,102996,0.43,24628,0.47,0.742
 Honduras,6424,3025,0.11,0.08,5318,11293,0.02,2164,0.03,0.743
 El Salvador,6280,3389,0.10,0.09,18408,34115,0.07,4622,0.06,0.746
 Antigua and Barbuda,77,52,0.00,0.00,20944,30915,0.00,18007,0.00,0.747
 Mexico,100088,56132,1.65,1.52,23488,41881,1.46,9711,2.08,0.749
 Mali,11647,4691,0.19,0.13,1798,4464,0.01,996,0.03,0.750
 Botswana,1754,851,0.03,0.02,15719,32401,0.02,7703,0.03,0.751
 Puerto Rico,3835,2609,0.06,0.07,77876,114475,0.19,22242,0.18,0.753
 Haiti,7939,3745,0.13,0.10,6244,13238,0.03,1798,0.03,0.755
 Nicaragua,4959,2279,0.08,0.06,5161,11228,0.02,1947,0.02,0.755
 Ecuador,12306,6770,0.20,0.18,6758,12285,0.05,3720,0.10,0.760
 Seychelles,77,43,0.00,0.00,26486,47673,0.00,11644,0.00,0.760
 Lebanon,3398,2024,0.06,0.06,20560,34522,0.04,6089,0.0,0.762
 Bolivia,8317,4171,0.14,0.11,6654,13269,0.03,2934,0.05,0.762
 South Africa,45610,25480,0.75,0.69,16266,29118,0.46,8017,0.78,0.763
 Saint Kitts and Nevis,40,24,0.00,0.00,22339,37767,0.00,14627,0.00,0.763
 Dominica,78,46,0.00,0.00,12717,21500,0.00,8284,0.00,0.763
 Belize,242,119,0.00,0.00,12550,25444,0.00,7170,0.00,0.763
 Saint Lucia,154,89,0.00,0.00,18013,31128,0.00,6823,0.00,0.763
 Grenada,102,60,0.00,0.00,15250,25782,0.00,6410,0.00,0.763
 Indonesia,209174,124446,3.44,3.37,7973,13401,1.04,4035,1.81,0.764
 Colombia,42120,24197,0.69,0.65,13826,24067,0.36,5796,0.52,0.765
 Paraguay,5470,2703,0.09,0.07,10879,22016,0.04,4801,0.06,0.766
 Panama,2950,1731,0.05,0.05,15003,25571,0.03,6650,0.04,0.766
 Zambia,10702,4517,0.18,0.12,2010,4762,0.01,841,0.02,0.766
 Lesotho,1788,825,0.03,0.02,2876,6236,0.00,1492,0.01,0.767
 Chile,15412,9809,0.25,0.27,27536,43265,0.26,10389,0.34,0.777
 Guatemala,11166,4986,0.18,0.14,12858,28796,0.09,4335,0.10,0.779
 Swaziland,1023,444,0.02,0.01,12773,29417,0.01,5047,0.01,0.780
 Central African Republic,3777,1738,0.06,0.05,1949,4235,0.01,1148,0.01,0.782
 Gabon,1272,603,0.02,0.02,14833,31279,0.01,7780,0.02,0.784
 United States,284154,202865,4.67,5.49,143727,201319,25.40,35619,21.67,0.801
  Switzerland,7167,5497,0.12,0.15,137549,179345,0.61,28209,0.43,0.803
World,6085576,3697511,100.00,100.00,26416,43494,100.00,7675,100.00,0.804
 Denmark,5340,4072,0.09,0.11,66191,86807,0.22,28539,0.33,0.808
 Zimbabwe,12595,5631,0.21,0.15,6104,13654,0.05,2607,0.07,0.845
 Namibia,1894,874,0.03,0.02,8843,19159,0.01,6058,0.03,0.847